ID,Title,Tags,Rating,Solved,Accepted
1878F,Vasilije Loves Number Theory,"brute force, math, number theory",1900,3365,0
1878E,Iva & Pav,"binary search, bitmasks, data structures, greedy",1400,9728,0
1878D,Reverse Madness,"data structures, greedy",1600,6815,0
1878C,Vasilije in Cacak,math,900,24655,0
1878B,Aleksa and Stack,"constructive algorithms, math",800,28107,0
1878A,How Much Does Daytona Cost?,greedy,800,33970,0
1877C,Joyboard,"math, number theory",1200,9047,0
1877A,Goals of Victory,math,800,15055,0
1876G,Clubstep,"binary search, brute force, data structures, greedy, trees",3500,81,0
1876F,Indefinite Clownfish,"binary search, graphs",3500,53,0
1876E,Ball-Stackable,"constructive algorithms, data structures, dp, trees",3300,195,0
1876D,Lexichromatography,"combinatorics, dfs and similar, dsu, graphs, two pointers",2500,750,0
1876C,Autosynthesis,"constructive algorithms, dfs and similar, graphs, greedy, sortings",2100,1985,0
1876B,Effects of Anti Pimples,"combinatorics, number theory, sortings",1500,6635,0
1876A,Helmets in Night Light,"greedy, sortings",1000,12372,0
1875D,Jellyfish and Mex,dp,1600,6516,0
1875C,Jellyfish and Green Apple,"bitmasks, greedy, math, number theory",1400,9826,0
1875A,Jellyfish and Undertale,"brute force, greedy",900,18660,0
1874G,Jellyfish and Inscryption,dp,3500,51,0
1874F,Jellyfish and OEIS,dp,3500,119,1
1874E,Jellyfish and Hack,"dp, math",3000,216,1
1874D,Jellyfish and Miku,"divide and conquer, dp, math, probabilities",2800,569,1
1874C,Jellyfish and EVA,"dp, graphs, greedy, math, probabilities",2300,1394,1
1874B,Jellyfish and Math,"bitmasks, brute force, dfs and similar, dp, graphs, shortest paths",2400,997,1
1874A,Jellyfish and Game,"brute force, games, greedy, implementation",1200,14508,1
1873H,Mad City,"dfs and similar, dsu, games, graphs, shortest paths, trees",1700,5847,0
1873G,ABBC or BACB,"constructive algorithms, greedy",1500,10425,0
1873F,Money Trees,"binary search, greedy, math, two pointers",1300,12507,0
1873E,Building an Aquarium,"binary search, sortings",1100,20288,0
1873D,1D Eraser,"greedy, implementation, two pointers",800,30107,0
1873C,Target Practice,"implementation, math",800,30673,0
1873B,Good Kid,"brute force, greedy, math",800,39595,0
1873A,Short Sort,"brute force, implementation",800,42761,0
1872G,Replace With Product,"brute force, greedy, math",2000,3644,0
1872F,Selling a Menagerie,"dfs and similar, dsu, graphs, implementation, math",1800,5262,0
1872E,Data Structures Fan,"binary search, bitmasks, data structures, dp",1500,10702,0
1872D,Plus Minus Permutation,math,1200,18590,0
1872C,Non-coprime Split,"math, number theory",1100,20561,0
1872B,The Corridor or There and Back Again,"greedy, implementation",900,25188,0
1872A,Two Vessels,"brute force, greedy, math",800,35179,0
1870H,Standard Graph Problem,"data structures, graphs, greedy, trees",3500,68,0
1870G,MEXanization,data structures,3300,177,1
1870F,Lazy Numbers,"binary search, math",2900,431,1
1870E,Another MEX Problem,"bitmasks, brute force, dp, shortest paths",2300,2056,1
1870D,Prefix Purchase,"greedy, implementation, sortings",1800,5989,1
1870C,Colorful Table,"binary search, data structures, dp, implementation, math, two pointers",1300,10050,1
1870B,Friendly Arrays,"bitmasks, greedy, math",1200,12450,1
1870A,MEXanized Array,"constructive algorithms, greedy, math",800,17868,1
1869B,2D Traveling,"geometry, math, shortest paths, sortings",1100,13051,0
1869A,Make It Zero,constructive algorithms,900,16145,0
1868F,LIS?,"data structures, greedy, implementation",3500,58,0
1868E,Min-Sum-Max,"constructive algorithms, dp, greedy",3500,64,0
1868D,Flower-like Pseudotree,"constructive algorithms, graphs, greedy, implementation, trees",3000,224,0
1868C,Travel Plan,"combinatorics, dp, implementation, math, trees",2400,1000,0
1868B2,Candy Party (Hard Version),"bitmasks, constructive algorithms, dp, greedy, implementation, math",2100,2150,0
1868B1,Candy Party (Easy Version),"bitmasks, constructive algorithms, graphs, greedy, implementation, math",1700,5973,0
1868A,Fill in the Matrix,"constructive algorithms, implementation",1300,10436,0
1867F,Most Different Tree,"brute force, constructive algorithms, dfs and similar, greedy, hashing",2700,367,0
1867E2,Salyg1n and Array (hard version),"constructive algorithms, interactive",2200,2789,0
1867E1,Salyg1n and Array (simple version),"constructive algorithms, interactive, math",2000,3294,0
1867D,Cyclic Operations,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation",1800,4977,0
1867C,Salyg1n and the MEX Game,"constructive algorithms, data structures, games, greedy, interactive",1300,9973,0
1867B,XOR Palindromes,"bitmasks, constructive algorithms, strings",1100,14757,0
1867A,"green_gold_dog, array and permutation","constructive algorithms, sortings",800,18483,0
1866M,Mighty Rock Tower,"brute force, combinatorics, dp, math, probabilities",2400,634,0
1866L,Lihmuf Balling,"binary search, brute force, math",2400,629,0
1866K,Keen Tree Calculation,"binary search, data structures, dp, geometry, graphs, implementation, trees",2500,381,0
1866J,Jackets and Packets,dp,2800,249,0
1866I,Imagination Castle,"dp, games, two pointers",2300,640,0
1866H,Happy Sets,combinatorics,2100,1453,0
1866G,Grouped Carriages,"binary search, data structures, dp, flows, greedy",2100,1413,0
1866F,Freak Joker Process,"binary search, data structures, sortings",3100,106,0
1866E,Elevators of Tamem,dp,2700,249,0
1866D,Digital Wallet,"dp, greedy",2300,1087,0
1866C,Completely Searching for Inversions,"dfs and similar, dp, graphs",1900,2734,0
1866B,Battling with Numbers,"combinatorics, math, number theory",1400,6648,0
1866A,Ambitious Kid,math,800,14429,0
1864I,Future Dominators,"graphs, greedy",3500,73,0
1864H,Asterism Stream,"dp, math, matrices",3200,239,0
1864G,Magic Square,"combinatorics, constructive algorithms, implementation",3100,233,0
1864F,Exotic Queries,"data structures, implementation, sortings",2300,1236,0
1864E,Guess Game,"bitmasks, data structures, games, math, probabilities, sortings, strings, trees",2100,2365,0
1864D,Matrix Cascade,"brute force, constructive algorithms, data structures, dp, greedy, math",1700,6007,0
1864C,Divisor Chain,"bitmasks, constructive algorithms, math, number theory",1300,11835,0
1864B,Swap and Reverse,"constructive algorithms, greedy, sortings, strings",1100,14145,0
1864A,Increasing and Decreasing,"constructive algorithms, greedy, implementation, math",800,19223,0
1863I,Redundant Routes,"constructive algorithms, dp, trees",3500,60,0
1863H,Goldberg Machine 3,"dp, trees",3500,62,0
1863G,Swaps,"combinatorics, dp, graphs, math",2800,490,1
1863F,"Divide, XOR, and Conquer","bitmasks, dp, math",2600,939,1
1863E,Speedrun,"brute force, dfs and similar, dp, graphs, greedy, math, sortings, two pointers",2100,2492,1
1863D,Two-Colored Dominoes,"constructive algorithms, greedy",1400,8404,1
1863C,MEX Repetition,"implementation, math",1100,12700,1
1863B,Split Sort,"greedy, math, sortings",1100,13710,1
1863A,Channel,"greedy, implementation",800,16915,1
1862G,The Great Equalizer,"binary search, data structures, math, sortings",2000,2449,0
1862F,Magic Will Save the World,"binary search, bitmasks, brute force, dp",1800,5180,0
1862E,Kolya and Movie Theatre,"constructive algorithms, data structures, greedy",1600,8808,0
1862D,Ice Cream Balls,"binary search, combinatorics, constructive algorithms, math",1300,14976,0
1862C,Flower City Fence,"binary search, data structures, implementation, sortings",1100,18587,0
1862B,Sequence Game,constructive algorithms,800,25687,0
1862A,Gift Carpet,"dp, greedy, implementation, strings",800,29033,0
1861F,Four Suits,"binary search, bitmasks, flows, greedy",3200,129,0
1861E,Non-Intersecting Subpermutations,"combinatorics, dp, implementation, math",2300,1519,1
1861D,Sorting By Multiplication,"dp, greedy",1800,5717,1
1861C,Queries for the Array,"data structures, dfs and similar, implementation, strings, trees",1600,8800,1
1861B,Two Binary Strings,"constructive algorithms, dp, greedy",1000,18845,1
1861A,Prime Deletion,"constructive algorithms, math",800,22290,1
1860F,Evaluate RBS,"data structures, geometry, implementation, math, sortings",2900,249,0
1860E,Fast Travel Text Editor,"data structures, dfs and similar, graphs, shortest paths",2400,1208,0
1860D,Balanced String,dp,2200,2596,0
1860C,Game on Permutation,"data structures, dp, games, greedy",1400,11562,0
1860B,Fancy Coins,"binary search, brute force, greedy, math",1200,14853,0
1860A,Not a Substring,"constructive algorithms, strings",900,19878,0
1859F,Teleportation in Byteland,"data structures, dfs and similar, divide and conquer, graphs, shortest paths, trees",3200,341,0
1859E,Maximum Monogonosity,"brute force, dp, math",2500,1604,0
1859D,Andrey and Escape from Capygrad,"binary search, data structures, dp, dsu, greedy, sortings",1800,6155,0
1859C,Another Permutation Problem,"brute force, dp, greedy, math",1200,15525,0
1859B,Olya and Game with Arrays,"constructive algorithms, greedy, math, sortings",1000,21949,0
1859A,United We Stand,"constructive algorithms, math, number theory",800,26659,0
